alias,count,keys
light,2,sym_0010_photon;sym_MISC11_flame
idea,3,sym_0010_photon;sym_META20_clarity;sym_META23_concept
and,2,logic_and;sym_A010_ampersand
&,2,logic_and;sym_A010_ampersand
or,2,logic_or;sym_A009_pipe
|,2,logic_or;sym_A009_pipe
!,2,logic_not;ascii_exclaim
~,3,logic_not;ascii_tilde;sym_A017_tilde
care,2,trait_compassion;sym_SOC20_concern
acknowledge,2,trait_validation;sym_SOC08_waveback
patience,2,trait_patience;sym_T016_patience
wait,2,trait_patience;sym_ACT07_pause
curiosity,2,trait_curiosity;sym_T014_curiosity
inquiry,3,trait_curiosity;sym_T014_curiosity;sym_META22_inquiry
stop,2,trait_boundaries;media_stop
protect,2,trait_boundaries;sym_UI11_lock
resilience,2,trait_resilience;sym_T015_adaptability
secure,3,trait_trust;security_lock;sym_UI11_lock
joy,2,trait_playfulness;emotion_joy
love,2,emotion_love;social_heart
release,3,meta_release;sym_META07_unravel;sym_E022_relief
gratitude,3,meta_gratitude;sym_E019_gratitude;sym_SOC22_thanks
thanks,2,meta_gratitude;sym_E019_gratitude
lock,2,security_lock;sym_UI11_lock
credential,2,security_key;sym_EXTRA038
favorite,2,social_heart;misc_star
link,3,social_share;sym_UI12_sync;sym_ACT13_connect
share,2,social_share;sym_SOC13_signalboost
save,2,social_bookmark;sym_UI14_save
start,3,media_play;sym_NAV11_home;sym_ACT05_initiate
pause,2,media_pause;sym_ACT07_pause
offline,2,status_offline;sym_STAT11_offline
away,2,status_offline;sym_STAT11_offline
home,2,nav_home;sym_NAV11_home
settings,2,nav_settings;sym_UI13_settings
gear,2,nav_settings;sym_UI13_settings
schedule,2,calendar;sym_TIME11_schedule
star,2,misc_star;ascii_star
question,2,ascii_question;sym_META22_inquiry
tilde,2,ascii_tilde;sym_A017_tilde
approx,2,ascii_tilde;sym_A017_tilde
nod,2,sym_SOC06_nod;sym_SOC07_nod
yes,2,sym_SOC06_nod;sym_SOC07_nod
agreement,3,sym_SOC06_nod;sym_SOC07_nod;sym_SOC10_handshake
refresh,2,sym_UI04_refresh;sym_NAV12_refresh
reload,2,sym_UI04_refresh;sym_NAV12_refresh
sync,2,sym_UI04_refresh;sym_UI12_sync
back,2,sym_NAV04_back;sym_ACT03_retreat
beginning,2,sym_MISC04_seed;sym_MISC13_seedling
growth,2,sym_MISC04_seed;sym_MISC13_seedling
in_progress,2,sym_STAT03_busy;sym_STAT10_pending
transition,2,sym_META05_transition;sym_META09_bridge
change,2,sym_META05_transition;sym_ACT04_transform
support,3,sym_SOC06_clap;sym_SOC19_encourage;sym_SOC27_support
send,2,sym_UI05_upload;sym_ACT11_push
receive,2,sym_UI06_download;sym_ACT12_pull
energy,2,sym_MISC05_fire;sym_MISC06_lightning
waiting,2,sym_STAT04_idle;sym_STAT10_pending
record,3,sym_T011_accountability;sym_META24_journal;sym_EXTRA032
restart,2,sym_META06_reset;sym_NAV12_refresh
spark,2,sym_MISC06_lightning;sym_META25_synapse
odor,2,sym_S004_smell;sym_S015_smell2
regret,2,sym_E017_regret;sym_SOC23_apology
wish,2,sym_E017_regret;sym_MISC09_starburst
bond,2,sym_T013_loyalty;sym_SOC30_salutation_heart
respect,2,sym_SOC09_fistbump;sym_SOC16_salute
center,2,sym_S006_balance;sym_META29_meditate
quiet,3,sym_STAT07_muted;sym_S012_echo_soft;sym_META14_whisper
divide,2,sym_A013_slash;sym_ACT18_split
connection,2,sym_META09_bridge;sym_META25_synapse
focus,3,sym_UI10_zoom;sym_MISC11_flame;sym_META18_focus
explore,2,sym_NAV08_map;sym_EXTRA026
present,3,sym_STAT08_active;sym_TIME04_present;sym_EXTRA039
appreciation,3,sym_E019_gratitude;sym_SOC21_salutation;sym_SOC22_thanks
gentle,2,sym_MISC10_leaf;sym_S017_touch_soft
amplify,2,sym_S008_echo;sym_SOC13_signalboost
recurrence,2,sym_META11_cycle;sym_TIME07_cycle_large
presence,2,sym_SOC12_signal;sym_S028_presence_probe
connect,3,sym_SOC12_signal;sym_UI12_sync;sym_ACT13_connect
weight,2,sym_S009_weight;sym_S010_pressure
clarity,2,sym_T017_discernment;sym_META20_clarity
origin,2,sym_NAV11_home;sym_EXTRA035
rhythm,2,sym_S011_rhythm;sym_EXTRA037
honor,2,sym_SOC16_salute;sym_TIME14_remember
reflect,2,sym_META15_mindful;sym_META21_reflect
notice,2,sym_META16_insight;sym_META19_awareness
scan,2,sym_META19_awareness;sym_S021_glance
merge,2,sym_META30_converge;sym_ACT17_merge
hold,2,sym_ACT07_pause;sym_EXTRA033
spin,2,sym_ACT10_rotate;sym_EXTRA037
attach,2,sym_ACT13_connect;sym_EXTRA033
combine,2,sym_ACT17_merge;sym_EXTRA034
probe,2,sym_S016_see_deep;sym_S019_probe
ping,2,sym_S018_feedback;sym_S028_presence_probe
